! -----------------------------------------
! ZMap ASCII grid file
! Output from Golden Software ioZmap.dll
! -----------------------------------------
@unnamed HEADER, GRID, 5
15, 1E+30, , 7, 1
382, 500, 260000, 759000, 7731000, 8112000
0. , 0. , 0.
@
         -42325       -42316.1       -42307.2       -42298.1       -42288.9
       -42279.6       -42270.1       -42260.5       -42250.7       -42240.9
         -42231         -42221         -42211       -42200.9       -42190.8
       -42180.5       -42170.1       -42159.4       -42148.5       -42137.4
       -42125.9       -42114.2       -42102.2         -42090       -42077.7
       -42065.1       -42052.5         -42040       -42027.6       -42015.4
       -42003.4       -41991.7       -41980.2       -41968.9       -41957.7
       -41946.6       -41935.4       -41924.2       -41912.9       -41901.4
       -41889.9       -41878.2       -41866.5       -41854.8         -41843
       -41831.4       -41819.9       -41808.6       -41797.5       -41786.8
       -41776.4       -41766.3       -41756.6       -41747.1       -41737.9
         -41729       -41720.4       -41712.1       -41704.1       -41696.5
       -41689.3       -41682.6       -41676.3       -41670.4       -41664.9
       -41659.9       -41655.3       -41651.1       -41647.3       -41644.1
       -41641.2       -41638.8       -41636.8       -41635.1       -41633.8
       -41632.9       -41632.3       -41631.9       -41631.9       -41632.2
       -41632.8       -41633.7       -41634.9       -41636.4       -41638.2
       -41640.2       -41642.6       -41645.1       -41647.9       -41650.9
       -41654.2       -41657.6       -41661.3       -41665.1       -41669.2
       -41673.5       -41678.1       -41682.9       -41688.1       -41693.6
       -41699.4       -41705.5       -41711.8       -41718.3       -41724.9
       -41731.5       -41738.3       -41745.2       -41752.2       -41759.3
       -41766.5       -41773.7       -41780.9       -41787.9       -41794.7
       -41801.3       -41807.4       -41813.1       -41818.5       -41823.3
       -41827.6       -41831.3       -41834.5       -41837.1       -41839.2
       -41840.7       -41841.6       -41842.1       -41842.1       -41841.7
       -41840.8       -41839.6       -41838.1       -41836.1       -41833.6
       -41830.8       -41827.5       -41823.8       -41819.8       -41815.4
       -41810.9       -41806.2       -41801.3       -41796.4       -41791.4
       -41786.4       -41781.4       -41776.4       -41771.3       -41766.2
       -41761.1       -41755.9       -41750.7       -41745.5       -41740.4
       -41735.4       -41730.4       -41725.6       -41720.8       -41716.1
       -41711.5         -41707       -41702.6       -41698.4       -41694.3
       -41690.4       -41686.8       -41683.3       -41680.2       -41677.2
       -41674.6       -41672.2       -41670.2       -41668.4         -41667
       -41665.8         -41665       -41664.4         -41664         -41664
       -41664.1       -41664.5       -41665.2       -41666.1       -41667.2
